lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced
633786861,bei,"Er ist doch bei der Polizei.",,3,0,preposition;noun,3,,2026-05-18,2026-05-18
633786924,gute,"…Lisa:] Gute Idee!",,3,0,noun;adjective,3,,2026-05-18,2026-05-18
633786952,idee,"…Lisa:] Gute Idee!",,3,3,noun,3,,2026-05-18,2026-05-18
633786993,polizist,"…Lisa:] Mein Vater ist Polizist.[ Auf Englisch:  Police .]",,0,0,der;noun,1,,2026-05-18,2026-05-18
633787043,police,"…ist Polizist.[ Auf Englisch:  Police .]",,0,0,noun,0,,2026-05-18,2026-05-18
633787102,vielleicht,"Vielleicht hilft er uns.",,0,0,noun;adverb,3,,2026-05-18,2026-05-18
633787220,hilft,"Vielleicht hilft er uns.",,2,0,verb;präsens;noun;er/sie/es;helfen;weiterhelfen;mithelfen;nachhelfen;abhelfen;aushelfen,2,,2026-05-18,2026-05-18
633787272,uns,"Vielleicht hilft er uns.",,2,0,pronoun;noun,3,,2026-05-18,2026-05-18
633791074,straße,"…Nico:] Adalbert-Stifter-Straße…",,0,0,noun,3,,2026-05-18,2026-05-18
633791265,sprecher,"Sprecher4:] Hallo, Sarah. Wie geht's…",,0,0,noun,3,,2026-05-18,2026-05-18
633791327,geht's,"…Sprecher4:] Hallo, Sarah. Wie geht's dir?",,2,0,noun;adverb,2,,2026-05-18,2026-05-18
633791447,opa,"…Sprecherin3:] Hallo, Opa!",,0,0,noun,1,,2026-05-18,2026-05-18
633791660,ihnen,"…Sehr gut, danke. Und Ihnen?",,2,0,pronoun;adverb,3,,2026-05-18,2026-05-18
633791756,tag,"…Sprecherin2:] Guten Tag! Wie geht es Ihnen?",,0,0,noun,3,,2026-05-18,2026-05-18
633791789,frau,"…Sprecher2:] Guten Tag, Frau Kamp.",,2,0,noun;adjective,3,,2026-05-18,2026-05-18
633792124,name,"…Emma:] Mein Name ist Emma!",,3,3,noun,3,,2026-05-18,2026-05-18
633792198,yippie,"…Emma:] Yippie!",,0,0,,0,,2026-05-18,2026-05-18
633792346,hausnummer,"Adresse... Straße, Hausnummer?",,1,0,noun,0,,2026-05-18,2026-05-18
633792391,zu,"Du willst zu deiner Tante?",,2,0,preposition;adverb,3,,2026-05-18,2026-05-18
633792398,deiner,"Du willst zu deiner Tante?",,2,0,pronoun;adjective,2,,2026-05-18,2026-05-18
633792429,aunt,"…Ähm.. meine...[ auf Englisch:  aunt ]?",,1,0,,0,,2026-05-18,2026-05-18
633792561,yara,"…Lisa:] Wer ist Yara?",,3,0,noun,0,,2026-05-18,2026-05-18
633792749,hast,"Hast du die Adresse?",,2,0,verb;pronoun;präsens;haben;noun;du;vorhaben;dahaben;liebhaben;anhaben,3,,2026-05-18,2026-05-18
633792856,andel,"…Nico:] Andel… Adelschiffstraße?",,1,0,noun,0,,2026-05-18,2026-05-18
633792887,adelschiffstraße,"…Nico:] Andel… Adelschiffstraße?",,2,0,,0,,2026-05-18,2026-05-18
633793585,handy,"…Taxifahrgast am Handy:] Ja, ich bin gut…",,1,0,noun,2,,2026-05-18,2026-05-18
633793615,taxifahrgast,"Taxifahrgast am Handy:] Ja, ich…",,0,0,,0,,2026-05-18,2026-05-18
633793663,mir,"Du kannst mir die Unterlagen für das…",,3,3,pronoun;noun,3,,2026-05-18,2026-05-18
633793703,für,"…kannst mir die Unterlagen für das Meeting im Hotel…",,3,3,preposition;noun,3,,2026-05-18,2026-05-18
633793730,meeting,"…die Unterlagen für das Meeting im Hotel hinterlegen.",,0,0,noun,0,,2026-05-18,2026-05-18
633793913,dem,"…Auf dem Flughafen.)",,3,0,pronoun;noun,3,,2026-05-18,2026-05-18
633793936,kein,"…A 1– Folge 2: Kein Problem!",,3,0,pronoun;adjective,3,,2026-05-18,2026-05-18
633794024,hotel,"…für das Meeting im Hotel hinterlegen.",,3,0,noun,2,,2026-05-18,2026-05-18
633794284,emma,"Emma:] Cool! Noch mal!",,3,0,noun,0,,2026-05-18,2026-05-18
633794352,cool,"…Emma:] Cool! Noch mal!",,3,0,noun;adjective,1,,2026-05-18,2026-05-18
633794457,königshof,"…Ins Zentrum, bitte. Zum Königshof.",,1,0,noun,0,,2026-05-18,2026-05-18
633794502,zum,"…Taxifahrgast:] Ins Zentrum, bitte. Zum Königshof.",,3,0,preposition;adjective,3,,2026-05-18,2026-05-18
633794529,ins,"…Taxifahrgast:] Ins Zentrum, bitte. Zum Königshof.",,3,0,noun;adjective,3,,2026-05-18,2026-05-18
633794552,okay,"…Taxifahrer:] Okay, kein Problem.",,0,0,noun;adjective,2,,2026-05-18,2026-05-18
657262584,dummkopf,"...ausreden: „Das ist ein Dummkopf!",,1,0,noun,0,,2026-05-18,2026-05-18
