lesson_id,course_id,title,language,audio_url,words_count,unknown_count,source_local,first_seen,last_synced
37763529,2206701,"Das Frühlingswetter bleibt verregnet",de,,,50,,2026-05-24,2026-05-24
37763565,2206701,"Frühlingsfest mit vier Schlägen eröffnet",de,,,74,,2026-05-24,2026-05-24
37763702,2206712,"Gemeinde Elsau Das Gartenbistro Claire’s Besäbeizli öffnet nicht mehr",de,,,114,,2026-05-24,2026-05-24
37933891,2143272,"Der Schatten - 1",de,,,801,,2026-05-24,2026-05-24
38064049,1019491,"Tagesschau in 100 Sekunden — 11.05.2025",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_38064049.b8cb907b05a9.mp3,,136,,2026-05-24,2026-05-24
38367452,2253839,"Chi - 2025-05-27 (01)",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/2025-05-27.d054876e9aa8.mp3,,33,,2026-05-24,2026-05-24
38368551,2253839,"Chi - 2025-05-27 (02)",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/2025-05-27_02.616bf6c1c624.mp3,,29,,2026-05-24,2026-05-24
38832310,2143272,Passengers,de,,,1420,,2026-05-24,2026-05-24
38833366,2143272,"Olympo S1:E1",de,,,977,,2026-05-24,2026-05-24
39609382,2303576,"22.07.2025 – Langsam Gesprochene Nachrichten",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tmp/norm_audio_in_39609382.3af9d8ed3d09.mp3,,278,,2026-05-24,2026-05-24
40870210,2451313,"eTraining - Lesen - Teil 3-9",de,,,189,,2026-05-24,2026-05-24
40874576,2451643,"1: Modelltest 2 Hören Teil 1",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_40874576_4539f9b3.3e73912706bf.mp3,,152,,2026-05-24,2026-05-24
40874577,2451643,"2: Modelltest 2 Hören Teil 2",de,,,166,,2026-05-24,2026-05-24
40874578,2451643,"3: Modelltest 2 Hören Teil 3",de,,,246,,2026-05-24,2026-05-24
40874580,2451643,"4: Modelltest 2 Hören Teil 4",de,,,138,,2026-05-24,2026-05-24
